DIA_TRANSPORTE,"AMBA","MOTIVO_ATSF","GENERO","TIPO_TRANSPORTE",CANT_TRJ,"DATO_PRELIMINAR"
2022-01-01,"SI","JUBILACION","F","COLECTIVO",30689,"NO"
2022-01-01,"SI","JUBILACION","F","LANCHA",0,"NO"
2022-01-01,"SI","JUBILACION","F","SUBTE",1214,"NO"
2022-01-01,"SI","JUBILACION","F","TOTAL",31646,"NO"
2022-01-01,"SI","JUBILACION","F","TREN",2397,"NO"
2022-01-01,"SI","JUBILACION","M","COLECTIVO",15292,"NO"
2022-01-01,"SI","JUBILACION","M","LANCHA",0,"NO"
2022-01-01,"SI","JUBILACION","M","SUBTE",660,"NO"
2022-01-01,"SI","JUBILACION","M","TOTAL",15801,"NO"
2022-01-01,"SI","JUBILACION","M","TREN",1298,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","F","COLECTIVO",4614,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","F","LANCHA",0,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","F","SUBTE",161,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","F","TOTAL",4730,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","F","TREN",441,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","M","COLECTIVO",3174,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","M","SUBTE",135,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","M","TOTAL",3272,"NO"
2022-01-01,"SI","MONOTRIBUTO SOCIAL","M","TREN",281,"NO"
2022-01-01,"SI","OTRO","F","COLECTIVO",4897,"NO"
2022-01-01,"SI","OTRO","F","LANCHA",0,"NO"
2022-01-01,"SI","OTRO","F","SUBTE",204,"NO"
2022-01-01,"SI","OTRO","F","TOTAL",5046,"NO"
2022-01-01,"SI","OTRO","F","TREN",480,"NO"
2022-01-01,"SI","OTRO","M","COLECTIVO",3747,"NO"
2022-01-01,"SI","OTRO","M","LANCHA",0,"NO"
2022-01-01,"SI","OTRO","M","SUBTE",185,"NO"
2022-01-01,"SI","OTRO","M","TOTAL",3875,"NO"
2022-01-01,"SI","OTRO","M","TREN",416,"NO"
2022-01-01,"SI","PENSION","F","COLECTIVO",13068,"NO"
2022-01-01,"SI","PENSION","F","LANCHA",0,"NO"
2022-01-01,"SI","PENSION","F","SUBTE",381,"NO"
2022-01-01,"SI","PENSION","F","TOTAL",13342,"NO"
2022-01-01,"SI","PENSION","F","TREN",1094,"NO"
2022-01-01,"SI","PENSION","M","COLECTIVO",6505,"NO"
2022-01-01,"SI","PENSION","M","LANCHA",0,"NO"
2022-01-01,"SI","PENSION","M","SUBTE",215,"NO"
2022-01-01,"SI","PENSION","M","TOTAL",6648,"NO"
2022-01-01,"SI","PENSION","M","TREN",604,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","COLECTIVO",13564,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","LANCHA",0,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","SUBTE",628,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","TOTAL",13914,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","TREN",1531,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","COLECTIVO",191,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","LANCHA",0,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","SUBTE",10,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","TOTAL",197,"NO"
2022-01-01,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","TREN",25,"NO"
2022-01-01,"SI","PROGRESAR","F","COLECTIVO",9654,"NO"
2022-01-01,"SI","PROGRESAR","F","LANCHA",0,"NO"
2022-01-01,"SI","PROGRESAR","F","SUBTE",459,"NO"
2022-01-01,"SI","PROGRESAR","F","TOTAL",9986,"NO"
2022-01-01,"SI","PROGRESAR","F","TREN",1027,"NO"
2022-01-01,"SI","PROGRESAR","M","COLECTIVO",4640,"NO"
2022-01-01,"SI","PROGRESAR","M","LANCHA",0,"NO"
2022-01-01,"SI","PROGRESAR","M","SUBTE",242,"NO"
2022-01-01,"SI","PROGRESAR","M","TOTAL",4804,"NO"
2022-01-01,"SI","PROGRESAR","M","TREN",501,"NO"
2022-01-02,"NO",,,"COLECTIVO",87132,"NO"
2022-01-02,"NO",,,"LANCHA",2,"NO"
2022-01-02,"NO",,,"SUBTE",0,"NO"
2022-01-02,"NO",,,"TOTAL",87134,"NO"
2022-01-02,"NO",,,"TREN",0,"NO"
2022-01-02,"NO",,"F","COLECTIVO",39061,"NO"
2022-01-02,"NO",,"F","LANCHA",1,"NO"
2022-01-02,"NO",,"F","SUBTE",0,"NO"
2022-01-02,"NO",,"F","TOTAL",39062,"NO"
2022-01-02,"NO",,"F","TREN",0,"NO"
2022-01-02,"NO",,"M","COLECTIVO",32429,"NO"
2022-01-02,"NO",,"M","LANCHA",3,"NO"
2022-01-02,"NO",,"M","SUBTE",0,"NO"
2022-01-02,"NO",,"M","TOTAL",32432,"NO"
2022-01-02,"NO",,"M","TREN",0,"NO"
2022-01-02,"NO","AUH","F","COLECTIVO",22669,"NO"
2022-01-02,"NO","AUH","F","LANCHA",0,"NO"
2022-01-02,"NO","AUH","F","SUBTE",0,"NO"
2022-01-02,"NO","AUH","F","TOTAL",22669,"NO"
2022-01-02,"NO","AUH","F","TREN",0,"NO"
2022-01-02,"NO","AUH","M","COLECTIVO",674,"NO"
2022-01-02,"NO","AUH","M","LANCHA",0,"NO"
2022-01-02,"NO","AUH","M","SUBTE",0,"NO"
2022-01-02,"NO","AUH","M","TOTAL",674,"NO"
2022-01-02,"NO","AUH","M","TREN",0,"NO"
2022-01-02,"NO","JUBILACION","F","COLECTIVO",18270,"NO"
2022-01-02,"NO","JUBILACION","F","LANCHA",1,"NO"
2022-01-02,"NO","JUBILACION","F","SUBTE",0,"NO"
2022-01-02,"NO","JUBILACION","F","TOTAL",18271,"NO"
2022-01-02,"NO","JUBILACION","F","TREN",0,"NO"
2022-01-02,"NO","JUBILACION","M","COLECTIVO",9390,"NO"
2022-01-02,"NO","JUBILACION","M","LANCHA",0,"NO"
2022-01-02,"NO","JUBILACION","M","SUBTE",0,"NO"
2022-01-02,"NO","JUBILACION","M","TOTAL",9390,"NO"
2022-01-02,"NO","JUBILACION","M","TREN",0,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","F","COLECTIVO",1936,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","F","LANCHA",0,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","F","SUBTE",0,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","F","TOTAL",1936,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","F","TREN",0,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","M","COLECTIVO",1130,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","M","SUBTE",0,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","M","TOTAL",1130,"NO"
2022-01-02,"NO","MONOTRIBUTO SOCIAL","M","TREN",0,"NO"
2022-01-02,"NO","OTRO","F","COLECTIVO",2672,"NO"
2022-01-02,"NO","OTRO","F","LANCHA",0,"NO"
2022-01-02,"NO","OTRO","F","SUBTE",0,"NO"
2022-01-02,"NO","OTRO","F","TOTAL",2672,"NO"
2022-01-02,"NO","OTRO","F","TREN",0,"NO"
2022-01-02,"NO","OTRO","M","COLECTIVO",1683,"NO"
2022-01-02,"NO","OTRO","M","LANCHA",0,"NO"
2022-01-02,"NO","OTRO","M","SUBTE",0,"NO"
2022-01-02,"NO","OTRO","M","TOTAL",1683,"NO"
2022-01-02,"NO","OTRO","M","TREN",0,"NO"
2022-01-02,"NO","PENSION","F","COLECTIVO",11571,"NO"
2022-01-02,"NO","PENSION","F","LANCHA",0,"NO"
2022-01-02,"NO","PENSION","F","SUBTE",0,"NO"
2022-01-02,"NO","PENSION","F","TOTAL",11571,"NO"
2022-01-02,"NO","PENSION","F","TREN",0,"NO"
2022-01-02,"NO","PENSION","M","COLECTIVO",5983,"NO"
2022-01-02,"NO","PENSION","M","LANCHA",0,"NO"
2022-01-02,"NO","PENSION","M","SUBTE",0,"NO"
2022-01-02,"NO","PENSION","M","TOTAL",5983,"NO"
2022-01-02,"NO","PENSION","M","TREN",0,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","COLECTIVO",5761,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","LANCHA",0,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","SUBTE",0,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TOTAL",5761,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","F","TREN",0,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","COLECTIVO",78,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","LANCHA",0,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","SUBTE",0,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TOTAL",78,"NO"
2022-01-02,"NO","PERSONAL DEL TRABAJO DOMÉSTICO","M","TREN",0,"NO"
2022-01-02,"NO","PROGRESAR","F","COLECTIVO",6620,"NO"
2022-01-02,"NO","PROGRESAR","F","LANCHA",0,"NO"
2022-01-02,"NO","PROGRESAR","F","SUBTE",0,"NO"
2022-01-02,"NO","PROGRESAR","F","TOTAL",6620,"NO"
2022-01-02,"NO","PROGRESAR","F","TREN",0,"NO"
2022-01-02,"NO","PROGRESAR","M","COLECTIVO",3282,"NO"
2022-01-02,"NO","PROGRESAR","M","LANCHA",0,"NO"
2022-01-02,"NO","PROGRESAR","M","SUBTE",0,"NO"
2022-01-02,"NO","PROGRESAR","M","TOTAL",3282,"NO"
2022-01-02,"NO","PROGRESAR","M","TREN",0,"NO"
2022-01-02,"SI",,,"COLECTIVO",348932,"NO"
2022-01-02,"SI",,,"LANCHA",0,"NO"
2022-01-02,"SI",,,"SUBTE",35296,"NO"
2022-01-02,"SI",,,"TOTAL",374535,"NO"
2022-01-02,"SI",,,"TREN",41527,"NO"
2022-01-02,"SI",,"F","COLECTIVO",155979,"NO"
2022-01-02,"SI",,"F","LANCHA",0,"NO"
2022-01-02,"SI",,"F","SUBTE",13337,"NO"
2022-01-02,"SI",,"F","TOTAL",165367,"NO"
2022-01-02,"SI",,"F","TREN",18546,"NO"
2022-01-02,"SI",,"M","COLECTIVO",150482,"NO"
2022-01-02,"SI",,"M","LANCHA",0,"NO"
2022-01-02,"SI",,"M","SUBTE",14912,"NO"
2022-01-02,"SI",,"M","TOTAL",160836,"NO"
2022-01-02,"SI",,"M","TREN",20932,"NO"
2022-01-02,"SI","AUH","F","COLECTIVO",74731,"NO"
2022-01-02,"SI","AUH","F","LANCHA",0,"NO"
2022-01-02,"SI","AUH","F","SUBTE",2080,"NO"
2022-01-02,"SI","AUH","F","TOTAL",75939,"NO"
2022-01-02,"SI","AUH","F","TREN",6347,"NO"
2022-01-02,"SI","AUH","M","COLECTIVO",3325,"NO"
2022-01-02,"SI","AUH","M","LANCHA",0,"NO"
2022-01-02,"SI","AUH","M","SUBTE",130,"NO"
2022-01-02,"SI","AUH","M","TOTAL",3389,"NO"
2022-01-02,"SI","AUH","M","TREN",354,"NO"
2022-01-02,"SI","JUBILACION","F","COLECTIVO",60854,"NO"
2022-01-02,"SI","JUBILACION","F","LANCHA",0,"NO"
2022-01-02,"SI","JUBILACION","F","SUBTE",2413,"NO"
2022-01-02,"SI","JUBILACION","F","TOTAL",62426,"NO"
2022-01-02,"SI","JUBILACION","F","TREN",4485,"NO"
2022-01-02,"SI","JUBILACION","M","COLECTIVO",28826,"NO"
2022-01-02,"SI","JUBILACION","M","LANCHA",0,"NO"
2022-01-02,"SI","JUBILACION","M","SUBTE",1180,"NO"
2022-01-02,"SI","JUBILACION","M","TOTAL",29584,"NO"
2022-01-02,"SI","JUBILACION","M","TREN",2292,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","F","COLECTIVO",8948,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","F","LANCHA",0,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","F","SUBTE",320,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","F","TOTAL",9140,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","F","TREN",828,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","M","COLECTIVO",6105,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","M","SUBTE",249,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","M","TOTAL",6254,"NO"
2022-01-02,"SI","MONOTRIBUTO SOCIAL","M","TREN",615,"NO"
2022-01-02,"SI","OTRO","F","COLECTIVO",9321,"NO"
2022-01-02,"SI","OTRO","F","LANCHA",0,"NO"
2022-01-02,"SI","OTRO","F","SUBTE",444,"NO"
2022-01-02,"SI","OTRO","F","TOTAL",9589,"NO"
2022-01-02,"SI","OTRO","F","TREN",967,"NO"
2022-01-02,"SI","OTRO","M","COLECTIVO",6607,"NO"
2022-01-02,"SI","OTRO","M","LANCHA",0,"NO"
2022-01-02,"SI","OTRO","M","SUBTE",317,"NO"
2022-01-02,"SI","OTRO","M","TOTAL",6803,"NO"
2022-01-02,"SI","OTRO","M","TREN",718,"NO"
2022-01-02,"SI","PENSION","F","COLECTIVO",25501,"NO"
2022-01-02,"SI","PENSION","F","LANCHA",0,"NO"
2022-01-02,"SI","PENSION","F","SUBTE",764,"NO"
2022-01-02,"SI","PENSION","F","TOTAL",25953,"NO"
2022-01-02,"SI","PENSION","F","TREN",2186,"NO"
2022-01-02,"SI","PENSION","M","COLECTIVO",11726,"NO"
2022-01-02,"SI","PENSION","M","LANCHA",0,"NO"
2022-01-02,"SI","PENSION","M","SUBTE",391,"NO"
2022-01-02,"SI","PENSION","M","TOTAL",11978,"NO"
2022-01-02,"SI","PENSION","M","TREN",1096,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","COLECTIVO",26218,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","LANCHA",0,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","SUBTE",1283,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","TOTAL",26896,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","F","TREN",3102,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","COLECTIVO",315,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","LANCHA",0,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","SUBTE",18,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","TOTAL",327,"NO"
2022-01-02,"SI","PERSONAL DEL TRABAJO DOMÉSTICO","M","TREN",35,"NO"
2022-01-02,"SI","PROGRESAR","F","COLECTIVO",17400,"NO"
2022-01-02,"SI","PROGRESAR","F","LANCHA",0,"NO"
2022-01-02,"SI","PROGRESAR","F","SUBTE",1000,"NO"
2022-01-02,"SI","PROGRESAR","F","TOTAL",17906,"NO"
2022-01-02,"SI","PROGRESAR","F","TREN",1953,"NO"
2022-01-02,"SI","PROGRESAR","M","COLECTIVO",7304,"NO"
2022-01-02,"SI","PROGRESAR","M","LANCHA",0,"NO"
2022-01-02,"SI","PROGRESAR","M","SUBTE",473,"NO"
2022-01-02,"SI","PROGRESAR","M","TOTAL",7575,"NO"
2022-01-02,"SI","PROGRESAR","M","TREN",883,"NO"
2022-01-03,"NO",,,"COLECTIVO",194845,"NO"
2022-01-03,"NO",,,"LANCHA",3,"NO"
2022-01-03,"NO",,,"SUBTE",0,"NO"
2022-01-03,"NO",,,"TOTAL",194921,"NO"
2022-01-03,"NO",,,"TREN",105,"NO"
2022-01-03,"NO",,"F","COLECTIVO",107856,"NO"
2022-01-03,"NO",,"F","LANCHA",6,"NO"
2022-01-03,"NO",,"F","SUBTE",0,"NO"
2022-01-03,"NO",,"F","TOTAL",107903,"NO"
2022-01-03,"NO",,"F","TREN",71,"NO"
2022-01-03,"NO",,"M","COLECTIVO",74249,"NO"
2022-01-03,"NO",,"M","LANCHA",8,"NO"
2022-01-03,"NO",,"M","SUBTE",0,"NO"
2022-01-03,"NO",,"M","TOTAL",74309,"NO"
2022-01-03,"NO",,"M","TREN",72,"NO"
2022-01-03,"NO","AUH","F","COLECTIVO",48965,"NO"
2022-01-03,"NO","AUH","F","LANCHA",2,"NO"
2022-01-03,"NO","AUH","F","SUBTE",0,"NO"
2022-01-03,"NO","AUH","F","TOTAL",48969,"NO"
2022-01-03,"NO","AUH","F","TREN",5,"NO"
2022-01-03,"NO","AUH","M","COLECTIVO",1494,"NO"
2022-01-03,"NO","AUH","M","LANCHA",0,"NO"
2022-01-03,"NO","AUH","M","SUBTE",0,"NO"
2022-01-03,"NO","AUH","M","TOTAL",1494,"NO"
2022-01-03,"NO","AUH","M","TREN",0,"NO"
2022-01-03,"NO","JUBILACION","F","COLECTIVO",53393,"NO"
2022-01-03,"NO","JUBILACION","F","LANCHA",0,"NO"
2022-01-03,"NO","JUBILACION","F","SUBTE",0,"NO"
2022-01-03,"NO","JUBILACION","F","TOTAL",53405,"NO"
2022-01-03,"NO","JUBILACION","F","TREN",17,"NO"
2022-01-03,"NO","JUBILACION","M","COLECTIVO",26976,"NO"
2022-01-03,"NO","JUBILACION","M","LANCHA",0,"NO"
2022-01-03,"NO","JUBILACION","M","SUBTE",0,"NO"
2022-01-03,"NO","JUBILACION","M","TOTAL",26979,"NO"
2022-01-03,"NO","JUBILACION","M","TREN",5,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","F","COLECTIVO",4714,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","F","LANCHA",1,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","F","SUBTE",0,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","F","TOTAL",4715,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","F","TREN",1,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","M","COLECTIVO",2392,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","M","LANCHA",0,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","M","SUBTE",0,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","M","TOTAL",2393,"NO"
2022-01-03,"NO","MONOTRIBUTO SOCIAL","M","TREN",1,"NO"
2022-01-03,"NO","OTRO","F","COLECTIVO",6780,"NO"
2022-01-03,"NO","OTRO","F","LANCHA",0,"NO"
2022-01-03,"NO","OTRO","F","SUBTE",0,"NO"
2022-01-03,"NO","OTRO","F","TOTAL",6781,"NO"
2022-01-03,"NO","OTRO","F","TREN",1,"NO"
2022-01-03,"NO","OTRO","M","COLECTIVO",3684,"NO"
2022-01-03,"NO","OTRO","M","LANCHA",0,"NO"
2022-01-03,"NO","OTRO","M","SUBTE",0,"NO"
2022-01-03,"NO","OTRO","M","TOTAL",3684,"NO"
2022-01-03,"NO","OTRO","M","TREN",0,"NO"
2022-01-03,"NO","PENSION","F","COLECTIVO",28066,"NO"
2022-01-03,"NO","PENSION","F","LANCHA",2,"NO"
2022-01-03,"NO","PENSION","F","SUBTE",0,"NO"
